# Tag name          ;  color;;;
music               ; #c0c0c0;;;
ether               ; #c0c0c0;;;
*signaux*           ; #c0c0c0;;;
fresnoy             ; #c0c0c0;;;
Untagged            ; #c0c0c0;;;
wierd               ; #c0c0c0;;;
satelitte           ; #c0c0c0;;;
;;;;
# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
40872300; gsm                      ; Raw I/Q             ;5200; *signaux*
47103900; Service aéronautique, compagnies, contrôle du trafic aérien, communications entre les aéronefs, VOLMET; USB                 ;39900; *signaux*
54253900; Service aéronautique, compagnies, contrôle du trafic aérien, communications entre les aéronefs, VOLMET; Raw I/Q             ;10000; wierd
55294300; signal                   ; Raw I/Q             ;10000; fresnoy
56000000; deep noise               ; Raw I/Q             ;400; wierd
58386100; Radiodiffusion OC publique longue distance bande des 49 mètres; Raw I/Q             ;2600; wierd
59389500; wierd                    ; Raw I/Q             ;33200; wierd
63488500; signal                   ; Raw I/Q             ;10000; fresnoy
63488500; signal sans son          ; AM                  ;10000; ether
82957900; MILITAIRE                ; Raw I/Q             ;10000; wierd
82957900; MILITAIRE                ; USB                 ;2700; wierd
85760000; SAMU                     ; USB                 ;2700; *signaux*
86402600; RADIO SONG               ; AM                  ;10000; wierd
87786400; debut radio              ; AM                  ;10000; fresnoy
87786400; radio am                 ; WFM (mono)          ;160000; ether
88196400; radio am                 ; AM                  ;10000; fresnoy
88200000; radio fm                 ; WFM (mono)          ;160000; ether
88696400; radio am                 ; AM                  ;10000; fresnoy
88696400; radio fm                 ; WFM (mono)          ;160000; ether
89186400; radio                    ; AM                  ;14600; fresnoy
89186400; radio fm                 ; WFM (mono)          ;160000; ether
89686400; radio                    ; AM                  ;10000; fresnoy
89686400; radio fm                 ; WFM (mono)          ;160000; ether
90386400; radio am                 ; AM                  ;10000; fresnoy
90386400; radio fm                 ; WFM (mono)          ;160000; ether
90990800; fm                       ; AM                  ;10000; music
90990800; radio fm                 ; WFM (mono)          ;160000; ether
